"organisation_name"	"LAU_comb"	"organisation_latitude"	"organisation_longitude"	"year"	"sector"	"polygon_area"	"CoM_emis"	"EDGAR_emis"	"organisation_id"	"lau_population_2019_elab"	"population_adhesion"	"country_code.x"	"country_code.y"	"population"	"population2"	"population3"	"country"
"Vienna"	"AT90001"	48.2106285095215	16.3574600219727	2014	"RCO"	412.721656778494	2020661.1607	1484138.625	"16137"	"1897491"	1914743	"at"	"at"	1914743	1914743	1914743	"at"
"Vienna"	"AT90001"	48.2106285095215	16.3574600219727	2014	"TRO_noRES"	412.721656778494	2075853.8418	730789	"16137"	"1897491"	1914743	"at"	"at"	1914743	1914743	1914743	"at"
"Vienna"	"AT90001"	48.2106285095215	16.3574600219727	2016	"RCO"	412.721656778494	1943174.093	1625540.875	"16137"	"1897491"	1914743	"at"	"at"	1914743	1914743	1914743	"at"
"Vienna"	"AT90001"	48.2106285095215	16.3574600219727	2016	"TRO_noRES"	412.721656778494	2198051.098	764653.875	"16137"	"1897491"	1914743	"at"	"at"	1914743	1914743	1914743	"at"
"Antwerp"	"BE11002"	51.2210006713867	4.39927005767822	2005	"RCO"	203.742747707127	1446231.1637	998579.5	"11584"	"525935"	512000	"be"	"be"	512000	512000	512000	"be"
"Antwerp"	"BE11002"	51.2210006713867	4.39927005767822	2005	"TRO_noRES"	203.742747707127	716947.6563	424672.71875	"11584"	"525935"	512000	"be"	"be"	512000	512000	512000	"be"
"Antwerp"	"BE11002"	51.2210006713867	4.39927005767822	2012	"RCO"	203.742747707127	1290460.86	839251.125	"11584"	"525935"	512000	"be"	"be"	512000	512000	512000	"be"
"Antwerp"	"BE11002"	51.2210006713867	4.39927005767822	2012	"TRO_noRES"	203.742747707127	927918.881	419499.9375	"11584"	"525935"	512000	"be"	"be"	512000	512000	512000	"be"
"Antwerp"	"BE11002"	51.2210006713867	4.39927005767822	2014	"RCO"	203.742747707127	1251720.321	726954.4375	"11584"	"525935"	512000	"be"	"be"	512000	512000	512000	"be"
"Antwerp"	"BE11002"	51.2210006713867	4.39927005767822	2014	"TRO_noRES"	203.742747707127	782809.997	420780.8125	"11584"	"525935"	512000	"be"	"be"	512000	512000	512000	"be"
